date,sex,ethnicity,abs,rate
2007-01-01,both,other_citizen,11291.0,40.5
2008-01-01,both,other_citizen,11377.0,40.5
2009-01-01,both,other_citizen,7555.0,27.2
2010-01-01,both,other_citizen,10708.0,46.2
2011-01-01,both,other_citizen,9188.0,38.0
2012-01-01,both,other_citizen,8655.0,34.7
2013-01-01,both,other_citizen,8351.0,32.5
2014-01-01,both,other_citizen,8225.0,31.0
2015-01-01,both,other_citizen,8073.0,29.7
2016-01-01,both,other_citizen,7767.0,27.7
2017-01-01,both,other_citizen,7752.0,26.9
2018-01-01,both,other_citizen,7544.0,25.7
2019-01-01,both,other_citizen,7256.0,24.2
2020-01-01,both,other_citizen,6894.0,32.0
2021-01-01,both,other_citizen,5531.0,25.1
2022-01-01,both,other_citizen,5443.0,24.4
2023-01-01,both,other_citizen,0.0,0.0
2000-01-01,male,other_citizen,6112.0,44.3
2001-01-01,male,other_citizen,6122.0,44.1
2002-01-01,male,other_citizen,4679.0,33.6
2003-01-01,male,other_citizen,6351.0,45.4
2004-01-01,male,other_citizen,6729.0,48.0
2005-01-01,male,other_citizen,6128.0,43.6
2006-01-01,male,other_citizen,6061.0,42.9
2007-01-01,male,other_citizen,5895.0,41.5
2008-01-01,male,other_citizen,5824.0,40.7
2009-01-01,male,other_citizen,3961.0,27.9
2010-01-01,male,other_citizen,5517.0,46.4
2011-01-01,male,other_citizen,4797.0,38.7
2012-01-01,male,other_citizen,4554.0,35.7
2013-01-01,male,other_citizen,4383.0,33.3
2014-01-01,male,other_citizen,4270.0,31.4
2015-01-01,male,other_citizen,4191.0,30.0
2016-01-01,male,other_citizen,4041.0,28.0
2017-01-01,male,other_citizen,4020.0,27.2
2018-01-01,male,other_citizen,3948.0,26.2
2019-01-01,male,other_citizen,3762.0,24.5
2020-01-01,male,other_citizen,3512.0,30.1
2021-01-01,male,other_citizen,2894.0,24.3
2022-01-01,male,other_citizen,2821.0,23.5
2000-01-01,female,other_citizen,5662.0,41.4
2001-01-01,female,other_citizen,5609.0,40.9
2002-01-01,female,other_citizen,4385.0,32.0
2003-01-01,female,other_citizen,5877.0,42.9
2004-01-01,female,other_citizen,6170.0,45.0
2005-01-01,female,other_citizen,5703.0,41.7
2006-01-01,female,other_citizen,5630.0,41.1
2007-01-01,female,other_citizen,5396.0,39.4
2008-01-01,female,other_citizen,5553.0,40.4
